timestamp,actual_mw,predicted_mw
2020-01-01 00:00:00+00:00,41187.0,43126.27760108434
2020-01-01 01:00:00+00:00,40398.0,40569.55593028364
2020-01-01 02:00:00+00:00,38919.0,40252.32035122717
2020-01-01 03:00:00+00:00,38879.0,41316.460684962054
2020-01-01 04:00:00+00:00,39162.0,40962.16929433592
2020-01-01 05:00:00+00:00,37510.0,42747.92574656067
2020-01-01 06:00:00+00:00,37892.0,42500.252222303556
2020-01-01 07:00:00+00:00,38677.0,42653.019544245304
2020-01-01 08:00:00+00:00,41091.0,48852.029473257855
2020-01-01 09:00:00+00:00,43094.0,52286.79938313143
2020-01-01 10:00:00+00:00,45249.0,54185.28600211033
2020-01-01 11:00:00+00:00,46498.0,54605.238144567855
2020-01-01 12:00:00+00:00,46328.0,53438.37052119821
2020-01-01 13:00:00+00:00,45115.0,52878.59233291315
2020-01-01 14:00:00+00:00,45039.0,53095.90160588596
2020-01-01 15:00:00+00:00,47313.0,53040.682957848
2020-01-01 16:00:00+00:00,51194.0,55492.132775315426
2020-01-01 17:00:00+00:00,51755.0,56093.848432531304
2020-01-01 18:00:00+00:00,50732.0,54880.83647072753
2020-01-01 19:00:00+00:00,48591.0,52983.31000196763
2020-01-01 20:00:00+00:00,47664.0,52093.798118162435
2020-01-01 21:00:00+00:00,46994.0,51396.83814899107
2020-01-01 22:00:00+00:00,44105.0,48699.35219526381
2020-01-01 23:00:00+00:00,42547.0,46479.00275907754
2020-01-02 00:00:00+00:00,41194.0,44679.77892273381
2020-01-02 01:00:00+00:00,40773.0,44802.046345295545
2020-01-02 02:00:00+00:00,40795.0,44071.1206889615
2020-01-02 03:00:00+00:00,41774.0,45346.94708317959
2020-01-02 04:00:00+00:00,43961.0,47046.231578711246
2020-01-02 05:00:00+00:00,47850.0,51961.69276233765
2020-01-02 06:00:00+00:00,52828.0,57920.259143242096
2020-01-02 07:00:00+00:00,56329.0,63409.11672591195
2020-01-02 08:00:00+00:00,58780.0,66277.49502331579
2020-01-02 09:00:00+00:00,59588.0,68717.92628669106
2020-01-02 10:00:00+00:00,60169.0,68758.3137955879
2020-01-02 11:00:00+00:00,60786.0,69592.54495229763
2020-01-02 12:00:00+00:00,60272.0,68992.87189894753
2020-01-02 13:00:00+00:00,59483.0,66961.4312447769
2020-01-02 14:00:00+00:00,59173.0,66443.36223519359
2020-01-02 15:00:00+00:00,60091.0,68161.36162687976
2020-01-02 16:00:00+00:00,62599.0,69754.18828095922
2020-01-02 17:00:00+00:00,62923.0,69657.0026352379
2020-01-02 18:00:00+00:00,61932.0,67445.33463321961
2020-01-02 19:00:00+00:00,58422.0,64324.71169911043
2020-01-02 20:00:00+00:00,55661.0,58936.19391326893
2020-01-02 21:00:00+00:00,54103.0,56169.000171603446
2020-01-02 22:00:00+00:00,50732.0,52836.26261413186
2020-01-02 23:00:00+00:00,47641.0,50456.00428692665
2020-01-03 00:00:00+00:00,46071.0,48627.2821856077
2020-01-03 01:00:00+00:00,45485.0,47747.71669679667
2020-01-03 02:00:00+00:00,45301.0,47629.13167032043
2020-01-03 03:00:00+00:00,46070.0,48961.101595464934
2020-01-03 04:00:00+00:00,47894.0,50713.10765456776
2020-01-03 05:00:00+00:00,51787.0,54279.86116331623
2020-01-03 06:00:00+00:00,55935.0,56245.359034116664
2020-01-03 07:00:00+00:00,59496.0,63044.97352186727
2020-01-03 08:00:00+00:00,60888.0,64845.41913297945
2020-01-03 09:00:00+00:00,61751.0,66227.66487257494
2020-01-03 10:00:00+00:00,63204.0,66594.0789217239
2020-01-03 11:00:00+00:00,63230.0,65946.50535828169
2020-01-03 12:00:00+00:00,61575.0,65596.80751878962
2020-01-03 13:00:00+00:00,60449.0,65064.895554383074
2020-01-03 14:00:00+00:00,59983.0,64604.09229294662
2020-01-03 15:00:00+00:00,60757.0,64212.14947408571
2020-01-03 16:00:00+00:00,62491.0,67169.50859256352
2020-01-03 17:00:00+00:00,62157.0,66800.65635342285
2020-01-03 18:00:00+00:00,60931.0,64405.603389917465
2020-01-03 19:00:00+00:00,56910.0,61056.93893527517
2020-01-03 20:00:00+00:00,53806.0,56819.4386912695
2020-01-03 21:00:00+00:00,52540.0,55174.55125299003
2020-01-03 22:00:00+00:00,49359.0,50810.98232902021
2020-01-03 23:00:00+00:00,46773.0,48974.123363652485
2020-01-04 00:00:00+00:00,45003.0,45722.4304544576
2020-01-04 01:00:00+00:00,44345.0,45584.1893853981
2020-01-04 02:00:00+00:00,43801.0,45450.86355724218
2020-01-04 03:00:00+00:00,44501.0,45128.811739397686
2020-01-04 04:00:00+00:00,45049.0,45456.45009117473
2020-01-04 05:00:00+00:00,46138.0,47504.48813277048
2020-01-04 06:00:00+00:00,48876.0,49545.88204339757
2020-01-04 07:00:00+00:00,51876.0,54125.84100361641
2020-01-04 08:00:00+00:00,55337.0,55322.462371039874
2020-01-04 09:00:00+00:00,57584.0,55996.96834143565
2020-01-04 10:00:00+00:00,59443.0,56399.967871930196
2020-01-04 11:00:00+00:00,59873.0,56270.1365421966
2020-01-04 12:00:00+00:00,58499.0,56047.67782811206
2020-01-04 13:00:00+00:00,57624.0,54919.899730942845
2020-01-04 14:00:00+00:00,56651.0,55465.599005165044
2020-01-04 15:00:00+00:00,58144.0,55772.10796614595
2020-01-04 16:00:00+00:00,60436.0,58263.313864478034
2020-01-04 17:00:00+00:00,59971.0,58114.562258483784
2020-01-04 18:00:00+00:00,58093.0,56465.26688186031
2020-01-04 19:00:00+00:00,54603.0,53529.907602181105
2020-01-04 20:00:00+00:00,52028.0,51696.69777844801
2020-01-04 21:00:00+00:00,50722.0,51001.301528269636
2020-01-04 22:00:00+00:00,47994.0,48428.64420921645
2020-01-04 23:00:00+00:00,44880.0,46309.21171031945
2020-01-05 00:00:00+00:00,42638.0,44004.84723940852
2020-01-05 01:00:00+00:00,41865.0,43253.698467362454
2020-01-05 02:00:00+00:00,40752.0,43098.52705638561
2020-01-05 03:00:00+00:00,40754.0,42738.40942809482
2020-01-05 04:00:00+00:00,40409.0,42542.31667982696
2020-01-05 05:00:00+00:00,39751.0,42274.65365103719
2020-01-05 06:00:00+00:00,41953.0,42700.10126901775
2020-01-05 07:00:00+00:00,43752.0,45887.24971715862
2020-01-05 08:00:00+00:00,47044.0,48506.15712674061
2020-01-05 09:00:00+00:00,50397.0,50620.46885170854
2020-01-05 10:00:00+00:00,52744.0,51562.88163522216
2020-01-05 11:00:00+00:00,52825.0,52427.899239777114
2020-01-05 12:00:00+00:00,51568.0,51012.40689602312
2020-01-05 13:00:00+00:00,50470.0,50383.301910275826
2020-01-05 14:00:00+00:00,50177.0,50314.28721191182
2020-01-05 15:00:00+00:00,51651.0,52091.66170406217
2020-01-05 16:00:00+00:00,55601.0,54430.63781357159
2020-01-05 17:00:00+00:00,56412.0,55741.58833279902
2020-01-05 18:00:00+00:00,54808.0,54822.96677983984
2020-01-05 19:00:00+00:00,52478.0,52820.105913838896
2020-01-05 20:00:00+00:00,50972.0,50630.67240320082
2020-01-05 21:00:00+00:00,50438.0,50828.9743756476
2020-01-05 22:00:00+00:00,47398.0,48556.13926717989
2020-01-05 23:00:00+00:00,45225.0,46170.33403601394
2020-01-06 00:00:00+00:00,43646.0,45263.804276570176
2020-01-06 01:00:00+00:00,42812.0,44329.88929072702
2020-01-06 02:00:00+00:00,43212.0,44769.960478865665
2020-01-06 03:00:00+00:00,44464.0,45987.182385844084
2020-01-06 04:00:00+00:00,47111.0,50328.316312122035
2020-01-06 05:00:00+00:00,51821.0,53974.00576219017
2020-01-06 06:00:00+00:00,57075.0,60955.52878340919
2020-01-06 07:00:00+00:00,59509.0,61611.92028251361
2020-01-06 08:00:00+00:00,61130.0,62244.44365482303
2020-01-06 09:00:00+00:00,62336.0,65520.42422570531
2020-01-06 10:00:00+00:00,63191.0,67654.25863169415
2020-01-06 11:00:00+00:00,63404.0,63932.25672658454
2020-01-06 12:00:00+00:00,62372.0,66531.79113519927
2020-01-06 13:00:00+00:00,61577.0,64398.72147350701
2020-01-06 14:00:00+00:00,61264.0,63833.57693650868
2020-01-06 15:00:00+00:00,62276.0,62786.54623337065
2020-01-06 16:00:00+00:00,66018.0,65707.1137502234
2020-01-06 17:00:00+00:00,66215.0,65984.88705912355
2020-01-06 18:00:00+00:00,64831.0,63032.39544467234
2020-01-06 19:00:00+00:00,61350.0,60241.521599787935
2020-01-06 20:00:00+00:00,58821.0,58228.642804524956
2020-01-06 21:00:00+00:00,56577.0,57008.702887290776
2020-01-06 22:00:00+00:00,52904.0,55863.90318640529
2020-01-06 23:00:00+00:00,50708.0,51263.17301671523
2020-01-07 00:00:00+00:00,49617.0,47931.39171440942
2020-01-07 01:00:00+00:00,48105.0,47450.14485286836
2020-01-07 02:00:00+00:00,48553.0,47916.15787253066
2020-01-07 03:00:00+00:00,50054.0,50384.32847603881
2020-01-07 04:00:00+00:00,53241.0,53952.6062950468
2020-01-07 05:00:00+00:00,60420.0,64002.88811205169
2020-01-07 06:00:00+00:00,66527.0,71312.94703588815
2020-01-07 07:00:00+00:00,69198.0,71881.3622270384
2020-01-07 08:00:00+00:00,69408.0,71985.13420220742
2020-01-07 09:00:00+00:00,69896.0,71755.5832088973
2020-01-07 10:00:00+00:00,70089.0,71630.69272038183
2020-01-07 11:00:00+00:00,69367.0,71889.20749210379
2020-01-07 12:00:00+00:00,69465.0,71792.05989989996
2020-01-07 13:00:00+00:00,68854.0,71693.72277332374
2020-01-07 14:00:00+00:00,68089.0,71262.27746058484
2020-01-07 15:00:00+00:00,68574.0,70914.05960395117
2020-01-07 16:00:00+00:00,70914.0,72077.36906780674
2020-01-07 17:00:00+00:00,70678.0,72208.39870415787
2020-01-07 18:00:00+00:00,68990.0,71173.64316885726
2020-01-07 19:00:00+00:00,65235.0,69077.41659158416
2020-01-07 20:00:00+00:00,61997.0,68070.10890581217
2020-01-07 21:00:00+00:00,59030.0,60785.09473980837
2020-01-07 22:00:00+00:00,55343.0,56350.524596506475
2020-01-07 23:00:00+00:00,52694.0,52715.06557516492
